iter	RMSE
0	1.39161298
1	1.303275302
2	1.248702708
3	1.174852255
4	1.119443434
5	1.060442762
6	1.005897796
7	0.9583131163
8	0.9154680602
9	0.8796602591
10	0.8467845332
11	0.8183179342
12	0.794289528
13	0.7738709135
14	0.7564500462
15	0.7418242881
16	0.7270261901
17	0.7150595559
18	0.7055437889
19	0.6921346158
20	0.6813789174
21	0.6735311619
22	0.662370672
23	0.6516205254
24	0.6456496732
25	0.6382073231
26	0.6314669809
27	0.6256309783
28	0.6202169702
29	0.6156086925
30	0.6084709614
31	0.6061213602
32	0.6013830604
33	0.597571182
34	0.5942785977
35	0.5925654539
36	0.5888524876
37	0.5846153243
38	0.5824370949
39	0.5808416363
40	0.5789207783
41	0.5753350006
42	0.5728870314
43	0.5701497848
44	0.5685890739
45	0.5666086069
46	0.565330379
47	0.5622089616
48	0.5614939626
49	0.5600723222
50	0.5574862036
51	0.5569621504
52	0.5553973396
53	0.5547628869
54	0.5545828546
55	0.5532763461
56	0.5519972778
57	0.5504801583
58	0.5486394239
59	0.547499277
60	0.5462502866
61	0.5451545126
62	0.5417891057
63	0.5410280512
64	0.5408994199
65	0.539636031
66	0.5375492516
67	0.5365135189
68	0.5357898562
69	0.5351236618
70	0.5348777514
71	0.5339533898
72	0.5326821206
73	0.5310006431
74	0.5284526659
75	0.5281006534
76	0.5279555247
77	0.5272024438
78	0.5263854549
79	0.5261249331
80	0.5247867791
81	0.524360997
82	0.5242626116
83	0.5238428452
84	0.5230104112
85	0.5224711365
86	0.5222355693
87	0.5216623838
88	0.5216608346
89	0.5208225091
90	0.5206609786
91	0.5189470878
92	0.5176772224
93	0.5173686317
94	0.5173215769
95	0.516076382
96	0.5152796473
97	0.5130505084
98	0.5125791178
99	0.5122589973
100	0.5093971101
101	0.5082350845
102	0.507282878
103	0.5068296735
104	0.5050110805
105	0.5027137574
106	0.5012937056
107	0.5006521578
108	0.4992032917
109	0.4976336315
110	0.4975138247
111	0.4969535738
112	0.4951103916
113	0.4936710845
114	0.4933494358
115	0.493349427
116	0.4912106764
117	0.490112463
118	0.4897229321
119	0.4890076775
120	0.4875545082
121	0.487195561
122	0.4869260277
123	0.4867377449
124	0.4865884211
125	0.4844479307
126	0.4833541482
127	0.4830864764
128	0.4823141887
129	0.4809461421
130	0.4799814952
131	0.4792449422
132	0.4786542079
133	0.4775887427
134	0.4770969107
135	0.4759917866
136	0.4752159354
137	0.473583343
138	0.4730532782
139	0.4723621303
140	0.4718114147
141	0.4713408603
142	0.4702973941
143	0.4696113309
144	0.4693806589
145	0.4691296667
146	0.4689031738
147	0.4680771203
148	0.4676943764
149	0.4675015227
150	0.4665774693
151	0.4662767272
152	0.4662168466
153	0.4658817502
154	0.4650781748
155	0.4647530166
156	0.4646544286
157	0.4641882968
158	0.4640238224
159	0.4634723876
160	0.4628320727
161	0.4620636823
162	0.4618720463
163	0.4617305216
164	0.4616427917
165	0.4608533002
166	0.459298336
167	0.4588495896
168	0.458760967
169	0.4585748979
170	0.45716951
171	0.4560945128
172	0.4550118471
173	0.454805628
174	0.4542729363
175	0.4530160589
176	0.4528100635
177	0.4526941434
178	0.4513602069
179	0.4507902017
180	0.4501882988
181	0.4495827068
182	0.4490969493
183	0.4483564604
184	0.4482887775
185	0.4474975461
186	0.4471156057
187	0.446956595
188	0.4462967124
189	0.445516612
190	0.4451365319
191	0.4450602491
192	0.4447433673
193	0.4443759131
194	0.4436741506
195	0.4434084419
196	0.4426942191
197	0.4426135192
198	0.4425544897
199	0.4423348122
200	0.4422200379
201	0.4421107766
202	0.4419838121
203	0.4415492649
204	0.4410785423
205	0.4409967156
206	0.4408674531
207	0.4408189015
208	0.4402314542
209	0.439929681
210	0.4392010997
211	0.4391557716
212	0.4386261589
213	0.4385645206
214	0.4383402982
215	0.438116633
216	0.4380562339
217	0.437907663
218	0.4377386271
219	0.4372851181
220	0.4367537721
221	0.4362856506
222	0.4361185886
223	0.4360327196
224	0.4353105766
225	0.4349822686
226	0.4341606838
227	0.4339438467
228	0.4336354903
229	0.4334563803
230	0.4334021711
231	0.4331434846
232	0.4330846101
233	0.4323679915
234	0.4320822455
235	0.431443973
236	0.430886543
237	0.430253868
238	0.4300357596
239	0.4298677095
240	0.4296151121
241	0.4293202514
242	0.4291319497
243	0.4288815659
244	0.4285211581
245	0.4282110237
246	0.4277456525
247	0.4271743088
248	0.4270415821
249	0.4266193376
250	0.426566006
251	0.4264585289
252	0.4259026924
253	0.4256574707
254	0.4252187085
255	0.4247785343
256	0.4246655392
257	0.4245071391
258	0.4243108151
259	0.4242606056
260	0.4241938046
261	0.4239986617
262	0.4236615384
263	0.4233247865
264	0.4232572752
265	0.4230507289
266	0.4229880033
267	0.4228400394
268	0.4225835958
269	0.4220403017
270	0.4217343874
271	0.4216788352
272	0.4211808131
273	0.4209799997
274	0.4208777472
275	0.4206619885
276	0.4203068397
277	0.4201772837
278	0.4199338578
279	0.4198871617
280	0.4194688429
281	0.4186152532
282	0.4185275357
283	0.4182612807
284	0.4181779609
285	0.4180168492
286	0.4179871423
287	0.4178724068
288	0.4170836137
289	0.4170331502
290	0.4169251832
291	0.4169047173
292	0.4167637438
293	0.4167241882
294	0.4162470731
295	0.4160164389
296	0.4158518812
297	0.4156740292
298	0.415040509
299	0.4147398094
300	0.4144307418
301	0.4140781464
302	0.413920823
303	0.4137305377
304	0.4135425782
305	0.4134185673
306	0.4133634685
307	0.4132488158
308	0.4126889372
309	0.4123242832
310	0.4121340654
311	0.4120775086
312	0.4118371791
313	0.4117295621
314	0.411611241
315	0.4114767319
316	0.411285167
317	0.4112343662
318	0.4112123317
319	0.4111671189
320	0.4111040882
321	0.4110573569
322	0.4108267099
323	0.4107135235
324	0.4105849088
325	0.4104041451
326	0.4100819436
327	0.409959304
328	0.4095773743
329	0.4093242032
330	0.4092162408
331	0.4091301635
332	0.4091041127
333	0.4087902144
334	0.4087079033
335	0.4086161251
336	0.4085405714
337	0.4080765791
338	0.4078549586
339	0.4071865072
340	0.4071121846
341	0.4068217788
342	0.4066665311
343	0.4062249518
344	0.4059800878
345	0.4057162001
346	0.4054255049
347	0.4053175857
348	0.4051667103
349	0.4051316608
350	0.4050830796
351	0.4049658505
352	0.404934945
353	0.4047559241
354	0.4045752318
355	0.4042653279
356	0.403791216
357	0.403557798
358	0.403482903
359	0.4033497499
360	0.4033055701
361	0.4028951697
362	0.4028118889
363	0.4027388018
364	0.4020021745
365	0.401672039
366	0.401589871
367	0.401438846
368	0.4011951033
369	0.4010012598
370	0.4008201339
371	0.400259714
372	0.4001533432
373	0.3998434903
374	0.3996164299
375	0.3991819158
376	0.3989654725
377	0.3989654721
378	0.3988472624
379	0.3987738455
380	0.3985993012
381	0.3985403622
382	0.3983794025
383	0.3982822042
384	0.3980798889
385	0.3979782514
386	0.3976907977
387	0.3970875794
388	0.3970469008
389	0.3970117115
390	0.3966207625
391	0.3966056148
392	0.3963825776
393	0.3959152611
394	0.3957148362
395	0.3956110858
396	0.3953798728
397	0.3953478779
398	0.3952991782
399	0.3951749198
400	0.3946489044
401	0.3943979049
402	0.3941123379
403	0.3940483201
404	0.3939822189
405	0.3939164273
406	0.3937481311
407	0.3936883227
408	0.3936618866
409	0.3935961136
410	0.3934987096
411	0.3932058248
412	0.3931524402
413	0.3928961841
414	0.3927399153
415	0.3925474882
416	0.3925331868
417	0.3922521991
418	0.3921210786
419	0.3920967148
420	0.3920019067
421	0.3917221318
422	0.3916348612
423	0.3916079907
424	0.3914251579
425	0.39140061
426	0.3913246435
427	0.3910429382
428	0.3909817043
429	0.3908252196
430	0.3908042216
431	0.3906994095
432	0.3906682258
433	0.3906497646
434	0.390565813
435	0.390535132
436	0.3904880126
437	0.3903618857
438	0.3898865867
439	0.3898343195
440	0.3896817005
441	0.3895363522
442	0.3894252121
443	0.3893191149
444	0.3892647316
445	0.3891764221
446	0.3890961269
447	0.3890364748
448	0.3889959857
449	0.3889344732
450	0.3887996086
451	0.3886438792
452	0.3885807044
453	0.3885387414
454	0.3884116336
455	0.388039302
456	0.3879941888
457	0.3879185547
458	0.3878692825
459	0.3877626107
460	0.3876569202
461	0.3875148943
462	0.3873528235
463	0.3873269217
464	0.3873068277
465	0.3871738435
466	0.3870716795
467	0.3869945811
468	0.3866201875
469	0.3865109252
470	0.3864317635
471	0.3864034746
472	0.3863860782
473	0.3863204094
474	0.3862268664
475	0.3861292668
476	0.3860086293
477	0.3858991454
478	0.3858595039
479	0.3857507036
480	0.3855875683
481	0.3854065478
482	0.3853763343
483	0.3851076692
484	0.3850051395
485	0.3846788938
486	0.3844059358
487	0.3843325315
488	0.3841877038
489	0.3837478188
490	0.3835644231
491	0.38353459
492	0.3834569814
493	0.3833624549
494	0.3832258575
495	0.3828272646
496	0.3822388912
497	0.3819292217
498	0.381459655
499	0.3810687294
500	0.3808994148
501	0.3807426122
502	0.380670659
503	0.3804944587
504	0.3804608302
505	0.3803496367
506	0.3802829538
507	0.3802571261
508	0.3801704848
509	0.3797858355
510	0.3797085485
511	0.3794585684
512	0.3793344895
513	0.3790957709
514	0.3790370421
515	0.3788986994
516	0.3787713348
517	0.3786784034
518	0.3786330704
519	0.3785318947
520	0.3783133216
521	0.3782599664
522	0.3781447723
523	0.3780078078
524	0.3778733164
525	0.3778310407
526	0.3777617629
527	0.3776492243
528	0.3775085734
529	0.3774853474
530	0.3772637529
531	0.3771587967
532	0.377123971
533	0.3770612229
534	0.3770270865
535	0.3769810282
536	0.3769422824
537	0.3768858966
538	0.3766940625
539	0.3766814614
540	0.3766204516
541	0.3765059889
542	0.3763533342
543	0.3758427894
544	0.3757702279
545	0.3757437245
546	0.375678667
547	0.3756436585
548	0.3754278768
549	0.3754167312
550	0.37539239
551	0.3753579294
552	0.3752798941
553	0.3751692038
554	0.3744923827
555	0.3742647245
556	0.3741328341
557	0.3740160975
558	0.3738967383
559	0.3737868699
560	0.3737432798
561	0.3737006911
562	0.373675842
563	0.3735936293
564	0.3734544583
565	0.3733001256
566	0.3731730375
567	0.3730984581
568	0.3728726055
569	0.3726346872
570	0.3723641789
571	0.3722702763
572	0.3721723179
573	0.3720404635
574	0.3719947048
575	0.3719642331
576	0.3719179328
577	0.3717818378
578	0.3717149517
579	0.3712386933
580	0.3711850785
581	0.3708413704
582	0.3706442506
583	0.3705573932
584	0.3704847343
585	0.3703207463
586	0.3703018528
587	0.3702499366
588	0.36998348
589	0.3698236846
590	0.3697430026
591	0.369482135
592	0.3694335737
593	0.369245146
594	0.3692104388
595	0.3690800255
596	0.3689435289
597	0.3687248681
598	0.3686859918
599	0.3685441231
600	0.3684903571
601	0.3683701503
602	0.3681391769
603	0.367609435
604	0.3669626326
605	0.3667124667
606	0.3666323175
607	0.3665354425
608	0.3665093847
609	0.3662407169
610	0.3661662222
611	0.3657895954
612	0.3656173853
613	0.3653972721
614	0.3653316632
615	0.3652923363
616	0.365255732
617	0.3651413673
618	0.3648055285
619	0.364612345
620	0.3642796385
621	0.3636002565
622	0.3634306586
623	0.3628758447
624	0.3628596026
625	0.3627626932
626	0.3626511756
627	0.3623085144
628	0.3620755279
629	0.3619851859
630	0.3617584564
631	0.3615901977
632	0.3613687517
633	0.3612548483
634	0.3611289768
635	0.3609526552
636	0.3608709883
637	0.3607567787
638	0.3606844056
639	0.3604411091
640	0.3604084268
641	0.3602183014
642	0.3601894095
643	0.3599918046
644	0.359903859
645	0.35987483
646	0.3597030905
647	0.359646282
648	0.3595481544
649	0.3593521933
650	0.3591605613
651	0.3590002174
652	0.35887366
653	0.3585436949
654	0.3584011185
655	0.3582604064
656	0.3582265837
657	0.3578992874
658	0.3577697644
659	0.3575860092
660	0.3575657284
661	0.3574678774
662	0.3574099221
663	0.3572817533
664	0.3571430766
665	0.357121989
666	0.357033243
667	0.35699014
668	0.3569289831
669	0.356902818
670	0.3567634705
671	0.3566210708
672	0.3562785149
673	0.3560546976
674	0.3559176908
675	0.3558472294
676	0.3558158369
677	0.3557270498
678	0.3556819236
679	0.355540936
680	0.3551924345
681	0.354982998
682	0.3548125635
683	0.354538238
684	0.3544560072
685	0.3543774577
686	0.3542711
687	0.3541843995
688	0.3541356082
689	0.3539306868
690	0.3538003124
691	0.3537137963
692	0.3533115872
693	0.3532999091
694	0.3531260968
695	0.3529136119
696	0.3528150581
697	0.3527245772
698	0.3524752179
699	0.3524308416
700	0.3523836751
701	0.3522019547
702	0.352113821
703	0.3519126766
704	0.3517451638
705	0.3516633995
706	0.3515765917
707	0.3513061345
708	0.3512382514
709	0.3512082999
710	0.3511726408
711	0.3510808994
712	0.3510300856
713	0.3507970185
714	0.3506718409
715	0.3506375101
716	0.3505723553
717	0.35054638
718	0.3504772365
