iter	Passed	Remaining
0	12	12390
1	20	10015
2	22	7450
3	34	8584
4	38	7576
5	48	8055
6	61	8765
7	73	9068
8	83	9164
9	97	9609
10	105	9502
11	114	9392
12	123	9407
13	138	9721
14	150	9887
15	161	9910
16	172	9995
17	187	10212
18	199	10292
19	210	10335
20	220	10293
21	238	10580
22	245	10436
23	258	10505
24	260	10165
25	273	10233
26	284	10235
27	298	10353
28	309	10361
29	320	10372
30	334	10464
31	338	10228
32	347	10184
33	363	10326
34	371	10252
35	374	10034
36	384	10012
37	401	10163
38	411	10144
39	422	10146
40	432	10121
41	443	10121
42	455	10130
43	467	10167
44	473	10057
45	486	10099
46	493	10013
47	504	10014
48	508	9876
49	516	9813
50	530	9863
51	535	9762
52	546	9756
53	549	9618
54	551	9468
55	561	9459
56	572	9464
57	582	9461
58	596	9517
59	610	9559
60	623	9600
61	637	9642
62	646	9618
63	658	9626
64	661	9515
65	670	9490
66	684	9525
67	696	9542
68	709	9576
69	713	9477
70	726	9503
71	733	9455
72	745	9463
73	757	9480
74	771	9509
75	784	9542
76	787	9438
77	799	9453
78	810	9448
79	812	9345
80	823	9346
81	828	9277
82	833	9206
83	843	9198
84	855	9206
85	868	9234
86	871	9150
87	878	9108
88	880	9016
89	891	9015
90	895	8940
91	906	8945
92	921	8989
93	935	9015
94	938	8935
95	951	8957
96	964	8975
97	976	8984
98	983	8951
99	991	8927
100	1005	8951
101	1018	8968
102	1031	8983
103	1045	9003
104	1054	8984
105	1067	9002
106	1077	8989
107	1090	9005
108	1099	8984
109	1111	8996
110	1125	9011
111	1134	8996
112	1146	8998
113	1160	9020
114	1168	8991
115	1169	8911
116	1180	8906
117	1190	8899
118	1201	8894
119	1212	8894
120	1227	8915
121	1243	8946
122	1255	8949
123	1267	8951
124	1280	8963
125	1294	8977
126	1307	8988
127	1320	8994
128	1331	8993
129	1344	8998
130	1356	8998
131	1369	9004
132	1383	9018
133	1396	9026
134	1407	9017
135	1419	9018
136	1431	9020
137	1445	9029
138	1458	9036
139	1468	9022
140	1480	9021
141	1492	9016
142	1504	9015
143	1517	9023
144	1530	9025
145	1542	9022
146	1554	9020
147	1563	9000
148	1575	9000
149	1590	9011
150	1604	9018
151	1617	9022
152	1626	9005
153	1638	9001
154	1651	9003
155	1659	8980
156	1672	8982
157	1682	8967
158	1696	8973
159	1708	8967
160	1720	8964
161	1732	8960
162	1746	8967
163	1758	8961
164	1771	8966
165	1785	8968
166	1799	8973
167	1812	8975
168	1825	8974
169	1833	8950
170	1845	8948
171	1858	8948
172	1871	8946
173	1885	8951
174	1898	8951
175	1911	8949
176	1922	8937
177	1930	8915
178	1945	8922
179	1959	8924
180	1968	8906
181	1980	8903
182	1993	8900
183	2008	8906
